Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.230864859994365,-3.59465059753261E-05,0.00982453569098829,0,0,0,452.254374649793,42.2528118012676,2.90433873726581E-05,5.29862244779797,45.7334828734001,-7.53976926824646E-07,73.6321595788915,0,0,0,0,0,0,package://alfa_robot_v2_arm_v6/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://alfa_robot_v2_arm_v6/meshes/base_link.STL,,base^整机总装配体-1,base c,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
pitch,-0.197037068600063,0.0545002757388739,0.0847212210627051,0,0,0,31.6067905352622,0.518725062034511,2.02803901410849E-08,-0.00603915225902053,0.579528262067602,3.22538967579058E-07,1.06221345040969,0,0,0,0,0,0,package://alfa_robot_v2_arm_v6/meshes/pitch.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://alfa_robot_v2_arm_v6/meshes/pitch.STL,,pitch^整机总装配体-1,pitch c,pitch a,pitch,revolute,0.25918,-0.0545,0.05,0,0,0,base_link,0,1,0,0,0,0,0.26,,,,,,,,
turn,-0.00579960525321255,-7.81089694046333E-06,1.06475532040538,0,0,0,52.9957329420753,7.51064439986969,5.95969545267824E-06,0.221612834319679,7.73162717719144,-8.94723713424965E-06,0.725095105907374,0,0,0,0,0,0,package://alfa_robot_v2_arm_v6/meshes/turn.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://alfa_robot_v2_arm_v6/meshes/turn.STL,,turn^整机总装配体-1,turn c,turn a,turn,continuous,-0.18924,0.0545,0.135,0,0,0,pitch,0,0,1,,,,,,,,,,,,
updown,0.0601856186326954,3.82033426615802E-07,0.101233179160814,0,0,0,28.1491686567643,1.18481506897735,-3.87618830042902E-08,-0.00404701824967137,0.266184937066632,7.22041694632457E-11,1.39675046484991,0,0,0,0,0,0,package://alfa_robot_v2_arm_v6/meshes/updown.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://alfa_robot_v2_arm_v6/meshes/updown.STL,,updown^整机总装配体-1,updown c,updown a,updown,prismatic,-0.079765,0,0.038925,0,0,0,turn,0,0,1,0,0,0,0.99,,,,,,,,
leftjoint1,-1.38247218028908E-05,0.00247303063767434,0.0580356311548944,0,0,0,2.53849373841165,0.00565311763556806,2.87080767363512E-06,-1.82289816008291E-06,0.00554461215364842,-7.07255020885019E-05,0.00447417135930948,0,0,0,0,0,0,package://alfa_robot_v2_arm_v6/meshes/leftjoint1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://alfa_robot_v2_arm_v6/meshes/leftjoint1.STL,,leftjoint1^整机总装配体-1,leftjoint1 c,leftjoint1 a,leftjoint1,revolute,0.095,0.26,0.2,0,0,0,updown,0,0,1,0,0,-3.14,3.14,,,,,,,,
leftjoint2,-0.00114761095593652,-0.198242125758531,0.0685871005229603,0,0,0,13.5734229269752,0.347012700484599,-0.000320830236467938,-0.000276165756752952,0.0505992561206815,-4.3642790230726E-06,0.367310633828645,0,0,0,0,0,0,package://alfa_robot_v2_arm_v6/meshes/leftjoint2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://alfa_robot_v2_arm_v6/meshes/leftjoint2.STL,,leftjoint2^整机总装配体-1,leftjoint2 c,leftjoint2 a,leftjoint2,revolute,-0.0011221,0.082492,0.058,-1.5708,0,0,leftjoint1,0,0,1,0,0,-3.14,3.14,,,,,,,,
leftjoint3,0.00103275104988376,-0.0982831580226123,-0.0759203082294151,0,0,0,4.0139478821286,0.0273003816388092,5.84592384070607E-06,2.18344323795526E-06,0.00829509657803974,-0.00042974787806313,0.0271399019630991,0,0,0,0,0,0,package://alfa_robot_v2_arm_v6/meshes/leftjoint3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://alfa_robot_v2_arm_v6/meshes/leftjoint3.STL,,leftjoint3^整机总装配体-1,leftjoint3 c,leftjoint3 a,leftjoint3,revolute,-0.00054177,-0.4,0.0079934,0,0,0,leftjoint2,0,0,1,0,0,-3.14,3.14,,,,,,,,
leftjoint4,-1.38247673107106E-05,0.00247303063742163,0.0580356311553323,0,0,0,2.53849373841178,0.00565311763546312,2.87080966274479E-06,-1.8228968633843E-06,0.00554461215375412,-7.07255021219364E-05,0.00447417135930963,0,0,0,0,0,0,package://alfa_robot_v2_arm_v6/meshes/leftjoint4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://alfa_robot_v2_arm_v6/meshes/leftjoint4.STL,,leftjoint4^整机总装配体-1,leftjoint4 c,leftjoint4 a,leftjoint4,revolute,0.0010609,-0.239,-0.077993,1.5708,0,0,leftjoint3,0,0,1,0,0,-3.14,3.14,,,,,,,,
leftjoint5,-0.000809179515076197,-0.0024730096812382,0.05802998452923,0,0,0,2.53849399611644,0.00565287838044614,4.31903867495345E-07,1.88202259358897E-05,0.0055445510546746,7.07009713362851E-05,0.00447446562052511,0,0,0,0,0,0,package://alfa_robot_v2_arm_v6/meshes/leftjoint5.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://alfa_robot_v2_arm_v6/meshes/leftjoint5.STL,,leftjoint5^整机总装配体-1,leftjoint5 c,leftjoint5 a,leftjoint5,revolute,-0.0010337,0.075993,0.058,-1.5708,0,0,leftjoint4,0,0,1,0,0,-3.14,3.14,,,,,,,,
leftjoint6,1.80240228142559E-06,-7.73532571834643E-07,0.0904168791589374,0,0,0,5.65613352390432,0.0281386175561931,9.64891354728908E-08,3.70686884840644E-07,0.0236927388911715,-1.37246890011475E-07,0.0322036182098302,0,0,0,0,0,0,package://alfa_robot_v2_arm_v6/meshes/leftjoint6.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://alfa_robot_v2_arm_v6/meshes/leftjoint6.STL,,leftjoint6^整机总装配体-1,leftjoint6 c,leftjoint6 a,leftjoint6,revolute,-0.00078891,-0.083,0.057995,1.5708,-0.013602,0,leftjoint5,0,0,1,0,0,-3.14,3.14,,,,,,,,
